		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
																
VARIABLES	LABELS	1 KM	2 KM	3 KM	4 KM	5 KM	6 KM	7 KM	8 KM	9 KM	10 KM	11 KM	12 KM	13 KM	14 KM	15 KM
																
treatment__IFU_1	treatment__IFU_1	-0.012	0.008	0.012	0.008	-0.020	-0.036	-0.060	-0.072	-0.072	-0.064	-0.040	-0.040	-0.024	-0.036	-0.060
		(0.018)	(0.026)	(0.030)	(0.026)	(0.029)	(0.028)	(0.032)*	(0.033)**	(0.033)**	(0.031)**	(0.029)	(0.028)	(0.026)	(0.027)	(0.027)**
treatment__IFU_2	treatment__IFU_2	0.020	0.028	-0.032	-0.052	-0.044	-0.056	-0.076	-0.084	-0.104	-0.100	-0.092	-0.068	-0.060	-0.040	-0.028
		(0.024)	(0.025)	(0.024)	(0.027)*	(0.029)	(0.033)*	(0.033)**	(0.035)**	(0.036)***	(0.033)***	(0.032)***	(0.028)**	(0.028)**	(0.029)	(0.029)
treatment__IFU_3	treatment__IFU_3	0.000	0.020	-0.040	-0.028	0.004	-0.024	-0.044	-0.032	-0.004	-0.012	0.012	0.024	0.016	0.016	0.000
		(0.035)	(0.038)	(0.035)	(0.034)	(0.034)	(0.034)	(0.032)	(0.030)	(0.028)	(0.026)	(0.024)	(0.024)	(0.019)	(0.015)	(0.014)
Constant	Constant	0.111	0.189	0.287	0.344	0.389	0.445	0.509	0.557	0.592	0.623	0.653	0.673	0.701	0.721	0.751
		(0.013)***	(0.015)***	(0.015)***	(0.016)***	(0.016)***	(0.016)***	(0.016)***	(0.017)***	(0.016)***	(0.015)***	(0.014)***	(0.014)***	(0.013)***	(0.013)***	(0.013)***
																
Observations		1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500
R-squared		0.605	0.687	0.750	0.761	0.759	0.755	0.757	0.738	0.749	0.767	0.785	0.805	0.823	0.821	0.820
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
