		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
																
VARIABLES	LABELS	1 KM	2 KM	3 KM	4 KM	5 KM	6 KM	7 KM	8 KM	9 KM	10 KM	11 KM	12 KM	13 KM	14 KM	15 KM
																
treatment__IFU_1	treatment__IFU_1	-0.011	0.007	0.007	0.009	-0.037	-0.043	-0.065	-0.075	-0.099	-0.114	-0.092	-0.088	-0.065	-0.061	-0.085
		(0.014)	(0.025)	(0.031)	(0.033)	(0.037)	(0.038)	(0.043)	(0.048)	(0.048)**	(0.048)**	(0.046)**	(0.046)*	(0.041)	(0.043)	(0.043)**
treatment__IFU_2	treatment__IFU_2	0.013	0.072	0.017	-0.055	-0.063	-0.066	-0.073	-0.115	-0.143	-0.151	-0.144	-0.126	-0.087	-0.091	-0.075
		(0.028)	(0.049)	(0.040)	(0.040)	(0.040)	(0.043)	(0.044)*	(0.049)**	(0.051)***	(0.053)***	(0.051)***	(0.050)**	(0.050)*	(0.052)*	(0.055)
treatment__IFU_3	treatment__IFU_3	0.033	0.124	0.004	-0.033	-0.016	-0.051	-0.104	-0.112	-0.129	-0.126	-0.096	-0.063	-0.043	-0.049	-0.066
		(0.049)	(0.068)*	(0.064)	(0.069)	(0.073)	(0.071)	(0.076)	(0.074)	(0.069)*	(0.066)*	(0.063)	(0.060)	(0.057)	(0.055)	(0.052)
Constant	Constant	0.113	0.231	0.405	0.571	0.723	0.867	1.023	1.164	1.289	1.401	1.502	1.589	1.678	1.767	1.865
		(0.020)***	(0.026)***	(0.027)***	(0.028)***	(0.030)***	(0.031)***	(0.033)***	(0.035)***	(0.035)***	(0.036)***	(0.036)***	(0.035)***	(0.033)***	(0.034)***	(0.035)***
																
Observations		1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500
R-squared		0.621	0.758	0.827	0.861	0.885	0.903	0.909	0.910	0.917	0.922	0.929	0.933	0.939	0.940	0.943
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
