		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
																
VARIABLES	LABELS	1 KM	2 KM	3 KM	4 KM	5 KM	6 KM	7 KM	8 KM	9 KM	10 KM	11 KM	12 KM	13 KM	14 KM	15 KM
																
treatment__IFU_1	treatment__IFU_1	-0.012	0.008	0.012	0.008	-0.020	-0.036	-0.060*	-0.072**	-0.072**	-0.064**	-0.040	-0.040	-0.024	-0.036	-0.060**
		(-0.042 - 0.018)	(-0.035 - 0.051)	(-0.038 - 0.062)	(-0.035 - 0.051)	(-0.068 - 0.028)	(-0.082 - 0.010)	(-0.112 - -0.008)	(-0.126 - -0.018)	(-0.126 - -0.018)	(-0.116 - -0.012)	(-0.087 - 0.007)	(-0.087 - 0.007)	(-0.067 - 0.019)	(-0.081 - 0.009)	(-0.104 - -0.016)
treatment__IFU_2	treatment__IFU_2	0.020	0.028	-0.032	-0.052*	-0.044	-0.056*	-0.076**	-0.084**	-0.104***	-0.100***	-0.092***	-0.068**	-0.060**	-0.040	-0.028
		(-0.019 - 0.059)	(-0.013 - 0.069)	(-0.071 - 0.007)	(-0.097 - -0.007)	(-0.092 - 0.004)	(-0.110 - -0.002)	(-0.130 - -0.022)	(-0.141 - -0.027)	(-0.163 - -0.045)	(-0.155 - -0.045)	(-0.145 - -0.039)	(-0.114 - -0.022)	(-0.106 - -0.014)	(-0.087 - 0.007)	(-0.076 - 0.020)
treatment__IFU_3	treatment__IFU_3	0.000	0.020	-0.040	-0.028	0.004	-0.024	-0.044	-0.032	-0.004	-0.012	0.012	0.024	0.016	0.016	0.000
		(-0.057 - 0.057)	(-0.043 - 0.083)	(-0.098 - 0.018)	(-0.084 - 0.028)	(-0.052 - 0.060)	(-0.080 - 0.032)	(-0.097 - 0.009)	(-0.081 - 0.017)	(-0.050 - 0.042)	(-0.054 - 0.030)	(-0.028 - 0.052)	(-0.015 - 0.063)	(-0.016 - 0.048)	(-0.009 - 0.041)	(-0.023 - 0.023)
Constant	Constant	0.111***	0.189***	0.287***	0.344***	0.389***	0.445***	0.509***	0.557***	0.592***	0.623***	0.653***	0.673***	0.701***	0.721***	0.751***
		(0.089 - 0.132)	(0.164 - 0.214)	(0.262 - 0.311)	(0.318 - 0.370)	(0.362 - 0.417)	(0.418 - 0.472)	(0.483 - 0.536)	(0.529 - 0.586)	(0.566 - 0.618)	(0.598 - 0.647)	(0.630 - 0.677)	(0.651 - 0.696)	(0.680 - 0.723)	(0.700 - 0.743)	(0.729 - 0.773)
																
Observations		1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500
R-squared		0.605	0.687	0.750	0.761	0.759	0.755	0.757	0.738	0.749	0.767	0.785	0.805	0.823	0.821	0.820
Robust ci in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
