		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
																
VARIABLES	LABELS	1 KM	2 KM	3 KM	4 KM	5 KM	6 KM	7 KM	8 KM	9 KM	10 KM	11 KM	12 KM	13 KM	14 KM	15 KM
																
treatmentNonEast_IFU_1	treatmentNonEast_IFU_1	-0.015	-0.030	-0.020	-0.020	-0.040	-0.040	-0.055	-0.055	-0.050	-0.045	-0.035	-0.035	-0.030	-0.045	-0.075
		(0.013)	(0.022)	(0.030)	(0.027)	(0.029)	(0.030)	(0.034)	(0.036)	(0.036)	(0.035)	(0.033)	(0.033)	(0.033)	(0.034)	(0.033)**
treatmentNonEast_IFU_2	treatmentNonEast_IFU_2	0.000	-0.020	-0.045	-0.080	-0.065	-0.075	-0.085	-0.085	-0.095	-0.100	-0.110	-0.080	-0.075	-0.050	-0.035
		(0.021)	(0.025)	(0.028)	(0.031)**	(0.030)**	(0.035)**	(0.038)**	(0.040)**	(0.042)**	(0.039)**	(0.039)***	(0.035)**	(0.035)**	(0.036)	(0.037)
treatmentNonEast_IFU_3	treatmentNonEast_IFU_3	-0.050	-0.040	-0.045	-0.035	0.005	-0.025	-0.055	-0.040	-0.005	-0.015	0.015	0.030	0.020	0.020	0.000
		(0.033)	(0.039)	(0.040)	(0.041)	(0.042)	(0.042)	(0.040)	(0.037)	(0.035)	(0.032)	(0.030)	(0.029)	(0.024)	(0.019)	(0.017)
treatmentEast_IFU_1	treatmentEast_IFU_1	0.000	0.160	0.140	0.120	0.060	-0.020	-0.080	-0.140	-0.160	-0.140	-0.060	-0.060	0.000	0.000	0.000
		(0.075)	(0.086)*	(0.089)	(0.073)	(0.089)	(0.077)	(0.080)	(0.081)*	(0.078)**	(0.074)*	(0.056)	(0.048)	(0.000)	(0.000)	(0.000)
treatmentEast_IFU_2	treatmentEast_IFU_2	0.100	0.220	0.020	0.060	0.040	0.020	-0.040	-0.080	-0.140	-0.100	-0.020	-0.020	0.000	0.000	0.000
		(0.082)	(0.061)***	(0.035)	(0.053)	(0.078)	(0.088)	(0.063)	(0.068)	(0.061)**	(0.056)*	(0.035)	(0.020)	(0.000)	(0.000)	(0.000)
treatmentEast_IFU_3	treatmentEast_IFU_3	0.200	0.260	-0.020	0.000	-0.000	-0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
		(0.104)*	(0.099)***	(0.069)	(0.045)	(0.028)	(0.019)	(0.000)	(0.000)	(.)	(.)	(.)	(0.000)	(0.000)	(0.000)	(0.000)
Constant	Constant	0.111	0.189	0.287	0.344	0.389	0.445	0.509	0.557	0.592	0.623	0.653	0.673	0.701	0.721	0.751
		(0.013)***	(0.015)***	(0.015)***	(0.016)***	(0.017)***	(0.016)***	(0.016)***	(0.017)***	(0.016)***	(0.015)***	(0.014)***	(0.014)***	(0.013)***	(0.013)***	(0.013)***
																
Observations		1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500
R-squared		0.615	0.702	0.752	0.763	0.760	0.755	0.757	0.739	0.750	0.768	0.786	0.805	0.823	0.821	0.821
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
