		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
																
VARIABLES	LABELS	1 KM	2 KM	3 KM	4 KM	5 KM	6 KM	7 KM	8 KM	9 KM	10 KM	11 KM	12 KM	13 KM	14 KM	15 KM
																
treatmentNonEast_IFU_1	treatmentNonEast_IFU_1	-0.012	-0.031	-0.030	-0.036	-0.065	-0.069	-0.079	-0.087	-0.093	-0.100	-0.085	-0.085	-0.092	-0.093	-0.119
		(0.009)	(0.017)*	(0.030)	(0.033)	(0.036)*	(0.038)*	(0.042)*	(0.044)*	(0.045)**	(0.046)**	(0.045)*	(0.048)*	(0.048)*	(0.051)*	(0.051)**
treatmentNonEast_IFU_2	treatmentNonEast_IFU_2	-0.005	-0.024	-0.048	-0.108	-0.103	-0.112	-0.103	-0.142	-0.149	-0.164	-0.168	-0.153	-0.129	-0.122	-0.102
		(0.017)	(0.027)	(0.033)	(0.040)***	(0.040)**	(0.045)**	(0.045)**	(0.052)***	(0.054)***	(0.054)***	(0.055)***	(0.055)***	(0.057)**	(0.060)**	(0.061)*
treatmentNonEast_IFU_3	treatmentNonEast_IFU_3	-0.051	-0.048	-0.093	-0.084	-0.034	-0.070	-0.109	-0.124	-0.112	-0.114	-0.085	-0.056	-0.060	-0.069	-0.092
		(0.031)	(0.038)	(0.049)*	(0.061)	(0.063)	(0.067)	(0.069)	(0.072)*	(0.071)	(0.071)	(0.069)	(0.069)	(0.066)	(0.066)	(0.063)
treatmentEast_IFU_1	treatmentEast_IFU_1	-0.006	0.161	0.158	0.190	0.076	0.064	-0.012	-0.030	-0.123	-0.174	-0.119	-0.100	0.042	0.066	0.052
		(0.061)	(0.099)	(0.094)*	(0.097)*	(0.117)	(0.113)	(0.141)	(0.159)	(0.162)	(0.157)	(0.140)	(0.130)	(0.069)	(0.069)	(0.061)
treatmentEast_IFU_2	treatmentEast_IFU_2	0.089	0.459	0.281	0.156	0.094	0.119	0.046	-0.009	-0.119	-0.102	-0.047	-0.017	0.079	0.030	0.037
		(0.119)	(0.186)**	(0.128)**	(0.105)	(0.115)	(0.116)	(0.121)	(0.133)	(0.142)	(0.153)	(0.136)	(0.120)	(0.105)	(0.110)	(0.130)
treatmentEast_IFU_3	treatmentEast_IFU_3	0.373	0.808	0.388	0.171	0.055	0.022	-0.081	-0.063	-0.196	-0.175	-0.137	-0.089	0.029	0.032	0.037
		(0.197)*	(0.242)***	(0.236)	(0.241)	(0.263)	(0.238)	(0.264)	(0.230)	(0.200)	(0.171)	(0.151)	(0.118)	(0.098)	(0.078)	(0.072)
Constant	Constant	0.113	0.231	0.405	0.571	0.723	0.867	1.023	1.164	1.289	1.401	1.502	1.589	1.678	1.767	1.865
		(0.020)***	(0.025)***	(0.026)***	(0.028)***	(0.030)***	(0.031)***	(0.033)***	(0.035)***	(0.035)***	(0.036)***	(0.036)***	(0.035)***	(0.033)***	(0.034)***	(0.035)***
																
Observations		1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500
R-squared		0.638	0.789	0.835	0.864	0.886	0.904	0.909	0.910	0.917	0.922	0.929	0.933	0.939	0.940	0.943
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
