		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
																
VARIABLES	LABELS	1 KM	2 KM	3 KM	4 KM	5 KM	6 KM	7 KM	8 KM	9 KM	10 KM	11 KM	12 KM	13 KM	14 KM	15 KM
																
treatmentNonEast_IFU_1	treatmentNonEast_IFU_1	-0.015	-0.030	-0.020	-0.020	-0.040	-0.040	-0.055	-0.055	-0.050	-0.045	-0.035	-0.035	-0.030	-0.045	-0.075**
		(-0.037 - 0.007)	(-0.067 - 0.007)	(-0.070 - 0.030)	(-0.065 - 0.025)	(-0.089 - 0.009)	(-0.089 - 0.009)	(-0.111 - 0.001)	(-0.114 - 0.004)	(-0.109 - 0.009)	(-0.102 - 0.012)	(-0.090 - 0.020)	(-0.090 - 0.020)	(-0.084 - 0.024)	(-0.101 - 0.011)	(-0.130 - -0.020)
treatmentNonEast_IFU_2	treatmentNonEast_IFU_2	0.000	-0.020	-0.045	-0.080**	-0.065**	-0.075**	-0.085**	-0.085**	-0.095**	-0.100**	-0.110***	-0.080**	-0.075**	-0.050	-0.035
		(-0.034 - 0.034)	(-0.060 - 0.020)	(-0.091 - 0.001)	(-0.131 - -0.029)	(-0.115 - -0.015)	(-0.132 - -0.018)	(-0.147 - -0.023)	(-0.151 - -0.019)	(-0.164 - -0.026)	(-0.165 - -0.035)	(-0.175 - -0.045)	(-0.137 - -0.023)	(-0.133 - -0.017)	(-0.109 - 0.009)	(-0.095 - 0.025)
treatmentNonEast_IFU_3	treatmentNonEast_IFU_3	-0.050	-0.040	-0.045	-0.035	0.005	-0.025	-0.055	-0.040	-0.005	-0.015	0.015	0.030	0.020	0.020	0.000
		(-0.104 - 0.004)	(-0.104 - 0.024)	(-0.112 - 0.022)	(-0.103 - 0.033)	(-0.064 - 0.074)	(-0.095 - 0.045)	(-0.121 - 0.011)	(-0.102 - 0.022)	(-0.062 - 0.052)	(-0.068 - 0.038)	(-0.035 - 0.065)	(-0.019 - 0.079)	(-0.020 - 0.060)	(-0.011 - 0.051)	(-0.029 - 0.029)
treatmentEast_IFU_1	treatmentEast_IFU_1	0.000	0.160*	0.140	0.120	0.060	-0.020	-0.080	-0.140*	-0.160**	-0.140*	-0.060	-0.060	0.000	0.000	0.000
		(-0.124 - 0.124)	(0.018 - 0.302)	(-0.007 - 0.287)	(-0.000 - 0.240)	(-0.086 - 0.206)	(-0.147 - 0.107)	(-0.213 - 0.053)	(-0.274 - -0.006)	(-0.289 - -0.031)	(-0.262 - -0.018)	(-0.152 - 0.032)	(-0.138 - 0.018)	(-0.000 - 0.000)	(-0.000 - 0.000)	(. - .)
treatmentEast_IFU_2	treatmentEast_IFU_2	0.100	0.220***	0.020	0.060	0.040	0.020	-0.040	-0.080	-0.140**	-0.100*	-0.020	-0.020	0.000	0.000	0.000
		(-0.035 - 0.235)	(0.119 - 0.321)	(-0.037 - 0.077)	(-0.027 - 0.147)	(-0.089 - 0.169)	(-0.125 - 0.165)	(-0.143 - 0.063)	(-0.192 - 0.032)	(-0.241 - -0.039)	(-0.192 - -0.008)	(-0.078 - 0.038)	(-0.053 - 0.013)	(-0.000 - 0.000)	(-0.000 - 0.000)	(. - .)
treatmentEast_IFU_3	treatmentEast_IFU_3	0.200*	0.260***	-0.020	0.000	-0.000	-0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
		(0.028 - 0.372)	(0.097 - 0.423)	(-0.134 - 0.094)	(-0.074 - 0.074)	(-0.047 - 0.047)	(-0.052 - 0.012)	(-0.000 - 0.000)	(. - .)	(-0.000 - 0.000)	(-0.000 - 0.000)	(-0.000 - 0.000)	(. - .)	(-0.000 - 0.000)	(-0.000 - 0.000)	(. - .)
Constant	Constant	0.111***	0.189***	0.287***	0.344***	0.389***	0.445***	0.509***	0.557***	0.592***	0.623***	0.653***	0.673***	0.701***	0.721***	0.751***
		(0.089 - 0.132)	(0.165 - 0.214)	(0.262 - 0.311)	(0.318 - 0.370)	(0.362 - 0.417)	(0.418 - 0.472)	(0.483 - 0.536)	(0.529 - 0.586)	(0.566 - 0.618)	(0.598 - 0.647)	(0.630 - 0.677)	(0.651 - 0.696)	(0.680 - 0.723)	(0.700 - 0.743)	(0.729 - 0.773)
																
Observations		1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500
R-squared		0.615	0.702	0.752	0.763	0.760	0.755	0.757	0.739	0.750	0.768	0.786	0.805	0.823	0.821	0.821
Robust ci in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
