		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
																
VARIABLES	LABELS	1 KM	2 KM	3 KM	4 KM	5 KM	6 KM	7 KM	8 KM	9 KM	10 KM	11 KM	12 KM	13 KM	14 KM	15 KM
																
treatmentNonEast_IFU_1	treatmentNonEast_IFU_1	-0.015	-0.030	-0.020	-0.020	-0.040	-0.040	-0.055	-0.055	-0.050	-0.045	-0.035	-0.035	-0.030	-0.045	-0.075**
		(-0.041 - 0.011)	(-0.074 - 0.014)	(-0.079 - 0.039)	(-0.074 - 0.034)	(-0.098 - 0.018)	(-0.098 - 0.018)	(-0.122 - 0.012)	(-0.126 - 0.016)	(-0.121 - 0.021)	(-0.113 - 0.023)	(-0.100 - 0.030)	(-0.101 - 0.031)	(-0.094 - 0.034)	(-0.112 - 0.022)	(-0.141 - -0.009)
treatmentNonEast_IFU_2	treatmentNonEast_IFU_2	0.000	-0.020	-0.045	-0.080**	-0.065**	-0.075**	-0.085**	-0.085**	-0.095**	-0.100**	-0.110***	-0.080**	-0.075**	-0.050	-0.035
		(-0.041 - 0.041)	(-0.068 - 0.028)	(-0.100 - 0.010)	(-0.141 - -0.019)	(-0.125 - -0.005)	(-0.143 - -0.007)	(-0.160 - -0.010)	(-0.164 - -0.006)	(-0.178 - -0.012)	(-0.177 - -0.023)	(-0.187 - -0.033)	(-0.148 - -0.012)	(-0.144 - -0.006)	(-0.120 - 0.020)	(-0.107 - 0.037)
treatmentNonEast_IFU_3	treatmentNonEast_IFU_3	-0.050	-0.040	-0.045	-0.035	0.005	-0.025	-0.055	-0.040	-0.005	-0.015	0.015	0.030	0.020	0.020	0.000
		(-0.115 - 0.015)	(-0.116 - 0.036)	(-0.124 - 0.034)	(-0.116 - 0.046)	(-0.077 - 0.087)	(-0.108 - 0.058)	(-0.133 - 0.023)	(-0.114 - 0.034)	(-0.074 - 0.064)	(-0.078 - 0.048)	(-0.044 - 0.074)	(-0.028 - 0.088)	(-0.027 - 0.067)	(-0.017 - 0.057)	(-0.034 - 0.034)
treatmentEast_IFU_1	treatmentEast_IFU_1	0.000	0.160*	0.140	0.120	0.060	-0.020	-0.080	-0.140*	-0.160**	-0.140*	-0.060	-0.060	0.000	0.000	0.000
		(-0.148 - 0.148)	(-0.009 - 0.329)	(-0.035 - 0.315)	(-0.024 - 0.264)	(-0.114 - 0.234)	(-0.172 - 0.132)	(-0.238 - 0.078)	(-0.299 - 0.019)	(-0.313 - -0.007)	(-0.286 - 0.006)	(-0.169 - 0.049)	(-0.154 - 0.034)	(-0.000 - 0.000)	(-0.000 - 0.000)	(-0.000 - 0.000)
treatmentEast_IFU_2	treatmentEast_IFU_2	0.100	0.220***	0.020	0.060	0.040	0.020	-0.040	-0.080	-0.140**	-0.100*	-0.020	-0.020	0.000	0.000	0.000
		(-0.061 - 0.261)	(0.100 - 0.340)	(-0.049 - 0.089)	(-0.044 - 0.164)	(-0.114 - 0.194)	(-0.153 - 0.193)	(-0.163 - 0.083)	(-0.213 - 0.053)	(-0.260 - -0.020)	(-0.209 - 0.009)	(-0.089 - 0.049)	(-0.060 - 0.020)	(-0.000 - 0.000)	(-0.000 - 0.000)	(-0.000 - 0.000)
treatmentEast_IFU_3	treatmentEast_IFU_3	0.200*	0.260***	-0.020	0.000	-0.000	-0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
		(-0.005 - 0.405)	(0.065 - 0.455)	(-0.156 - 0.116)	(-0.088 - 0.088)	(-0.056 - 0.056)	(-0.058 - 0.018)	(-0.000 - 0.000)	(-0.000 - 0.000)	(. - .)	(. - .)	(. - .)	(-0.000 - 0.000)	(-0.000 - 0.000)	(-0.000 - 0.000)	(-0.000 - 0.000)
Constant	Constant	0.111***	0.189***	0.287***	0.344***	0.389***	0.445***	0.509***	0.557***	0.592***	0.623***	0.653***	0.673***	0.701***	0.721***	0.751***
		(0.085 - 0.137)	(0.160 - 0.218)	(0.258 - 0.316)	(0.313 - 0.375)	(0.357 - 0.422)	(0.413 - 0.478)	(0.478 - 0.541)	(0.524 - 0.591)	(0.561 - 0.623)	(0.593 - 0.652)	(0.625 - 0.682)	(0.646 - 0.701)	(0.676 - 0.727)	(0.696 - 0.747)	(0.725 - 0.777)
																
Observations		1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500
R-squared		0.615	0.702	0.752	0.763	0.760	0.755	0.757	0.739	0.750	0.768	0.786	0.805	0.823	0.821	0.821
Robust ci in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
