		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
																
VARIABLES	LABELS	1 KM	2 KM	3 KM	4 KM	5 KM	6 KM	7 KM	8 KM	9 KM	10 KM	11 KM	12 KM	13 KM	14 KM	15 KM
																
treatment__IFU_1	treatment__IFU_1	-0.012	0.008	0.012	0.008	-0.020	-0.036	-0.060*	-0.072**	-0.072**	-0.064**	-0.040	-0.040	-0.024	-0.036	-0.060**
		(-0.048 - 0.024)	(-0.043 - 0.059)	(-0.048 - 0.072)	(-0.044 - 0.060)	(-0.078 - 0.038)	(-0.091 - 0.019)	(-0.122 - 0.002)	(-0.137 - -0.007)	(-0.136 - -0.008)	(-0.126 - -0.002)	(-0.097 - 0.017)	(-0.096 - 0.016)	(-0.075 - 0.027)	(-0.089 - 0.017)	(-0.113 - -0.007)
treatment__IFU_2	treatment__IFU_2	0.020	0.028	-0.032	-0.052*	-0.044	-0.056*	-0.076**	-0.084**	-0.104***	-0.100***	-0.092***	-0.068**	-0.060**	-0.040	-0.028
		(-0.027 - 0.067)	(-0.021 - 0.077)	(-0.078 - 0.014)	(-0.106 - 0.002)	(-0.101 - 0.013)	(-0.121 - 0.009)	(-0.140 - -0.012)	(-0.152 - -0.016)	(-0.174 - -0.034)	(-0.166 - -0.034)	(-0.156 - -0.028)	(-0.123 - -0.013)	(-0.115 - -0.005)	(-0.096 - 0.016)	(-0.086 - 0.030)
treatment__IFU_3	treatment__IFU_3	0.000	0.020	-0.040	-0.028	0.004	-0.024	-0.044	-0.032	-0.004	-0.012	0.012	0.024	0.016	0.016	0.000
		(-0.068 - 0.068)	(-0.055 - 0.095)	(-0.109 - 0.029)	(-0.095 - 0.039)	(-0.063 - 0.071)	(-0.091 - 0.043)	(-0.107 - 0.019)	(-0.091 - 0.027)	(-0.059 - 0.051)	(-0.063 - 0.039)	(-0.035 - 0.059)	(-0.022 - 0.070)	(-0.022 - 0.054)	(-0.013 - 0.045)	(-0.027 - 0.027)
Constant	Constant	0.111***	0.189***	0.287***	0.344***	0.389***	0.445***	0.509***	0.557***	0.592***	0.623***	0.653***	0.673***	0.701***	0.721***	0.751***
		(0.085 - 0.137)	(0.159 - 0.219)	(0.258 - 0.316)	(0.313 - 0.375)	(0.357 - 0.422)	(0.413 - 0.477)	(0.478 - 0.541)	(0.524 - 0.591)	(0.561 - 0.623)	(0.593 - 0.652)	(0.625 - 0.682)	(0.646 - 0.700)	(0.676 - 0.727)	(0.696 - 0.747)	(0.725 - 0.777)
																
Observations		1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500
R-squared		0.605	0.687	0.750	0.761	0.759	0.755	0.757	0.738	0.749	0.767	0.785	0.805	0.823	0.821	0.820
Robust ci in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
