		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)
		M7_93z_wins_ln	M7_93z_wins_ln	M7_92z	M7_92z	M7_91z	M7_91z	M8_91z_wins_ln	M8_91z_wins_ln	M8_92z	M8_92z	Assets_Household_pca	Assets_Household_pca	Assets_Livestock_pca	Assets_Livestock_pca	M9_03_wins_ln	M9_03_wins_ln	M9_99z	M9_99z	F8_03y_wins_ln	F8_03y_wins_ln	F8_01z	F8_01z	F2_01x	F2_01x	F2_034x_wins_ln	F2_034x_wins_ln	F2_05x	F2_05x	F2_05y	F2_05y	M1_05_6z_wins_ln	M1_05_6z_wins_ln	M9_05z	M9_05z	M9_06z	M9_06z	F13_01x	F13_01x	F13_02z	F13_02z
VARIABLES	LABELS	Income Earned in Past Year	Income Earned in Past Year	Seasons in Which Income Was Earned	Seasons in Which Income Was Earned	Sources of Income Include Sectors Other than Subsistence Agriculture	Sources of Income Include Sectors Other than Subsistence Agriculture	Annual Expenditure	Annual Expenditure	Ratio of Food Expenditure to Total Expenditure	Ratio of Food Expenditure to Total Expenditure	Principal Component of Livestock Assets [Aggregate]	Principal Component of Livestock Assets [Aggregate]	Principal Component of Household Assets [Aggregate]	Principal Component of Household Assets [Aggregate]	Amount Borrowed in Past Year	Amount Borrowed in Past Year	Borrowed for Food or Medical Needs in Past Year	Borrowed for Food or Medical Needs in Past Year	Daily Caloric Intake Per Household Member During Past Week	Daily Caloric Intake Per Household Member During Past Week	Household Experienced Hunger On At Least One Day in Past Week	Household Experienced Hunger On At Least One Day in Past Week	Primary Source of Drinking Water is Protected Source	Primary Source of Drinking Water is Protected Source	Estimated Hours Spent Collecting Water in Past Week	Estimated Hours Spent Collecting Water in Past Week	Number of seasons in Past Year Water Was of Poor Quality	Number of seasons in Past Year Water Was of Poor Quality	Number of seasons in Past Year Water Was Not Available	Number of seasons in Past Year Water Was Not Available	Logarithm of Hours of Electricity in Past Month	Logarithm of Hours of Electricity in Past Month	Perceived Improvement in Household's Situation in Past Year [Male]	Perceived Improvement in Household's Situation in Past Year [Male]	Expected Improvement in Household's Situation Next Year [Male]	Expected Improvement in Household's Situation Next Year [Male]	Perceived Improvement in Household's Situation in Past Year [Female]	Perceived Improvement in Household's Situation in Past Year [Female]	Expected Improvement in Household's Situation Next Year [Female]	Expected Improvement in Household's Situation Next Year [Female]
																																									
treatment_FU1	treatment_FU1	0.038	0.028	0.042	0.032	0.026	0.033	0.008	0.003	0.000	-0.000	0.071	0.067	-0.029	-0.051	0.041	0.076	0.002	0.002	0.023	0.032	-0.009	-0.010	0.051	0.047	0.061	0.122	-0.153	-0.177	-0.064	-0.070	0.140	0.218	0.047	0.044	0.052	0.053	0.056	0.044	0.046	0.042
		(0.019)**	(0.022)	(0.029)	(0.032)	(0.013)**	(0.013)**	(0.017)	(0.020)	(0.005)	(0.006)	(0.041)*	(0.048)	(0.040)	(0.045)	(0.029)	(0.031)**	(0.009)	(0.010)	(0.011)**	(0.012)**	(0.014)	(0.015)	(0.021)**	(0.021)**	(0.042)	(0.044)***	(0.049)***	(0.055)***	(0.022)***	(0.025)***	(0.113)	(0.121)*	(0.012)***	(0.014)***	(0.011)***	(0.013)***	(0.014)***	(0.016)***	(0.014)***	(0.015)***
treatment_FU2	treatment_FU2	0.044	0.042	0.032	0.041	0.004	0.012	-0.011	0.010	-0.002	-0.003	0.036	0.048	0.042	0.028	0.176	0.129	0.014	0.013	0.002	0.003	-0.019	-0.018	0.061	0.060	-0.051	-0.035	-0.066	-0.074	-0.058	-0.052	0.227	0.170	0.018	0.017	0.021	0.017	0.049	0.042	0.039	0.033
		(0.020)**	(0.023)*	(0.027)	(0.030)	(0.012)	(0.013)	(0.021)	(0.023)	(0.005)	(0.006)	(0.048)	(0.056)	(0.044)	(0.052)	(0.084)**	(0.069)*	(0.013)	(0.012)	(0.012)	(0.012)	(0.015)	(0.016)	(0.022)***	(0.022)***	(0.023)**	(0.023)	(0.055)	(0.058)	(0.029)**	(0.031)*	(0.108)**	(0.112)	(0.011)*	(0.011)	(0.009)**	(0.010)*	(0.012)***	(0.012)***	(0.010)***	(0.010)***
EastTreat_FU1	EastTreat_FU1		0.059		0.058		-0.043		0.033		0.004		0.029		0.126		-0.225		0.001		-0.055		0.007		0.026		-0.389		0.154		0.039		-0.459		0.015		-0.008		0.079		0.024
			(0.031)*		(0.078)		(0.037)		(0.034)		(0.013)		(0.074)		(0.098)		(0.088)**		(0.030)		(0.030)*		(0.039)		(0.079)		(0.126)***		(0.105)		(0.048)		(0.307)		(0.032)		(0.029)		(0.027)***		(0.036)
EastTreat_FU2	EastTreat_FU2		0.013		-0.052		-0.046		-0.124		0.004		-0.075		0.088		0.295		0.006		-0.017		-0.008		0.010		-0.266		0.161		-0.078		0.348		0.007		0.026		0.118		0.097
